"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 12:45:40 GMT 2024","Tue Apr 23 12:45:40 GMT 2024","187","","api.test.get.GetBoardsTest","","api.test.get.GetBoardsTest","checkGetBoard","checkGetBoard()",""
"passed","Tue Apr 23 12:45:41 GMT 2024","Tue Apr 23 12:45:41 GMT 2024","135","","api.test.get.GetBoardsValidationTest","","api.test.get.GetBoardsValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@3a2173cd",""
"passed","Tue Apr 23 12:45:42 GMT 2024","Tue Apr 23 12:45:42 GMT 2024","145","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [1] api.arguments.holders.AuthValidationArgumentsHolder@5a487b86",""
"passed","Tue Apr 23 12:45:41 GMT 2024","Tue Apr 23 12:45:41 GMT 2024","165","","api.test.get.GetBoardsValidationTest","","api.test.get.GetBoardsValidationTest","checkGetBoardWithInvalidId","checkGetBoardWithInvalidId(BoardIdValidationArgumentsHolder) [1] api.arguments.holders.BoardIdValidationArgumentsHolder@5a54d05f",""
"passed","Tue Apr 23 12:45:37 GMT 2024","Tue Apr 23 12:45:37 GMT 2024","147","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidAuth","checkDeleteBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@5824b485",""
"passed","Tue Apr 23 12:45:22 GMT 2024","Tue Apr 23 12:45:32 GMT 2024","9413","","api.test.create.CreateBoardTest","","api.test.create.CreateBoardTest","checkCreateBoard","checkCreateBoard()",""
"passed","Tue Apr 23 12:45:33 GMT 2024","Tue Apr 23 12:45:33 GMT 2024","184","","api.test.create.CreateBoardValidationTest","","api.test.create.CreateBoardValidationTest","checkCreateBoardWithInvalidName","checkCreateBoardWithInvalidName(Map) [2] {}",""
"passed","Tue Apr 23 12:45:32 GMT 2024","Tue Apr 23 12:45:32 GMT 2024","187","","api.test.create.CreateBoardValidationTest","","api.test.create.CreateBoardValidationTest","checkCreateBoardWithInvalidAuth","checkCreateBoardWithInvalidAuth(AuthValidationArgumentsHolder) [1] api.arguments.holders.AuthValidationArgumentsHolder@346e76ad",""
"passed","Tue Apr 23 12:45:44 GMT 2024","Tue Apr 23 12:45:45 GMT 2024","475","","api.test.update.UpdateCardIdTest","","api.test.update.UpdateCardIdTest","updateExistingCard","updateExistingCard()",""
"passed","Tue Apr 23 12:45:44 GMT 2024","Tue Apr 23 12:45:44 GMT 2024","152","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithInvalidId","checkUpdateBoardWithInvalidId(BoardIdValidationArgumentsHolder) [2] api.arguments.holders.BoardIdValidationArgumentsHolder@5ae50044",""
"passed","Tue Apr 23 12:45:39 GMT 2024","Tue Apr 23 12:45:40 GMT 2024","480","","api.test.get.GetBoardsTest","","api.test.get.GetBoardsTest","checkGetCard","checkGetCard()",""
"passed","Tue Apr 23 12:45:45 GMT 2024","Tue Apr 23 12:45:45 GMT 2024","203","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithInvalidCredentials","checkUpdateCardWithInvalidCredentials(AuthValidationArgumentsHolder) [2] api.arguments.holders.AuthValidationArgumentsHolder@58e5a81c",""
"passed","Tue Apr 23 12:45:42 GMT 2024","Tue Apr 23 12:45:42 GMT 2024","153","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","getCardWithInvalidId","getCardWithInvalidId(CardIdValidationArgumentsHolder) [2] api.arguments.holders.CardIdValidationArgumentsHolder@59e5ecab",""
